Word	Valence	Arousal	Dominance
cathedral	0.598	0.330	0.643
catheter	0.336	0.491	0.373
catholic	0.646	0.240	0.575
cathouse	0.327	0.375	0.363
catnip	0.439	0.381	0.296
cattle	0.622	0.340	0.445
catwalk	0.698	0.436	0.464
caucus	0.418	0.311	0.491
caudal	0.500	0.425	0.583
cauldron	0.510	0.486	0.418
cauliflower	0.448	0.255	0.231
caulk	0.367	0.500	0.418
causal	0.562	0.367	0.491
causality	0.500	0.378	0.336
causation	0.562	0.480	0.567
cause	0.469	0.373	0.486
caused	0.344	0.520	0.382
causeway	0.453	0.382	0.422
caution	0.552	0.712	0.547
cautionary	0.510	0.541	0.519
cautious	0.470	0.445	0.517
cautiously	0.510	0.388	0.525
cavalier	0.735	0.462	0.713
cavalry	0.667	0.727	0.794
cave	0.459	0.333	0.380
caveat	0.344	0.629	0.484
caveman	0.235	0.644	0.482
cavern	0.323	0.360	0.365
cavernous	0.354	0.548	0.462
caviar	0.906	0.394	0.481
caving	0.378	0.491	0.551
cavity	0.466	0.385	0.379
cayenne	0.615	0.306	0.355
cease	0.388	0.250	0.420
ceasefire	0.542	0.594	0.567
ceaseless	0.378	0.704	0.658
cedar	0.560	0.267	0.577
cede	0.275	0.327	0.402
ceiling	0.520	0.224	0.366
celebrant	0.865	0.656	0.643
celebrate	0.917	0.857	0.859
celebrated	0.875	0.690	0.763
celebrating	0.927	0.860	0.773
celebration	0.939	0.824	0.880
celebrations	0.958	0.794	0.714
celebratory	0.857	0.653	0.845
celebrity	0.760	0.619	0.855
celery	0.396	0.147	0.223
celestial	0.817	0.360	0.731
celibacy	0.302	0.276	0.509
celibate	0.419	0.387	0.391
cell	0.541	0.375	0.465
cellar	0.510	0.277	0.406
cellblock	0.186	0.570	0.500
cellist	0.667	0.500	0.486
cellmate	0.167	0.684	0.349
cello	0.635	0.324	0.528
cellophane	0.648	0.282	0.289
cellular	0.643	0.398	0.517
cellulite	0.200	0.384	0.256
celluloid	0.469	0.440	0.425
cement	0.544	0.265	0.527
cemented	0.429	0.382	0.537
cemetery	0.051	0.630	0.417
censor	0.344	0.276	0.538
censorship	0.219	0.698	0.421
censure	0.219	0.653	0.417
census	0.449	0.289	0.553
cent	0.439	0.367	0.402
centenary	0.604	0.440	0.642
centennial	0.583	0.394	0.700
center	0.643	0.231	0.431
centerfold	0.571	0.407	0.485
centerpiece	0.594	0.208	0.520
centimeter	0.427	0.280	0.380
centipede	0.296	0.399	0.361
central	0.640	0.356	0.621
centrality	0.571	0.312	0.709
centralization	0.521	0.440	0.702
centralize	0.684	0.427	0.802
centrally	0.729	0.280	0.700
centrifugal	0.306	0.651	0.480
centrifuge	0.495	0.622	0.527
centurion	0.590	0.447	0.696
century	0.407	0.347	0.735
ceramic	0.521	0.255	0.371
ceramics	0.573	0.250	0.373
cereal	0.612	0.206	0.316
cereals	0.719	0.224	0.311
cerebral	0.408	0.509	0.627
ceremonial	0.771	0.540	0.691
ceremony	0.760	0.559	0.761
certain	0.760	0.358	0.673
certainty	0.781	0.400	0.769
certifiable	0.714	0.427	0.662
certificate	0.786	0.377	0.746
certified	0.781	0.422	0.806
certify	0.866	0.400	0.746
cervical	0.375	0.413	0.445
cervix	0.429	0.360	0.340
cess	0.427	0.375	0.406
cessation	0.414	0.385	0.358
cesspool	0.167	0.460	0.409
cha cha	0.714	0.546	0.324
chaff	0.333	0.327	0.188
chafing	0.430	0.415	0.368
chagrin	0.104	0.704	0.472
chagrined	0.112	0.745	0.361
chai	0.500	0.375	0.363
chain	0.378	0.500	0.547
chainsaw	0.367	0.804	0.636
chair	0.562	0.082	0.276
chairman	0.656	0.567	0.933
chairperson	0.730	0.657	0.966
chairwoman	0.719	0.664	0.953
chaise	0.406	0.349	0.327
chalet	0.653	0.349	0.278
chalice	0.633	0.286	0.529
chalk	0.385	0.185	0.121
challenge	0.469	0.922	0.713
challenger	0.417	0.755	0.652
chamber	0.583	0.373	0.455
chambermaid	0.594	0.375	0.336
chambers	0.542	0.442	0.388
chameleon	0.490	0.580	0.345
champ	0.854	0.754	0.896
champagne	0.760	0.600	0.454
champion	0.890	0.880	0.945
championship	0.833	0.800	0.880
chance	0.833	0.551	0.525
chancellor	0.646	0.500	0.887
chandelier	0.615	0.542	0.366
chandler	0.510	0.452	0.454
change	0.625	0.575	0.606
changeable	0.490	0.480	0.528
changed	0.594	0.375	0.491
changer	0.583	0.519	0.567
changing	0.571	0.569	0.461
channel	0.490	0.287	0.405
chant	0.771	0.698	0.650
chaos	0.016	0.923	0.373
chaotic	0.115	0.847	0.442
chap	0.550	0.410	0.345
chapel	0.573	0.240	0.440
chaperon	0.500	0.520	0.404
chaplain	0.582	0.370	0.577
chapman	0.562	0.529	0.465
chaps	0.350	0.462	0.350
chapter	0.580	0.308	0.461
char	0.554	0.361	0.404
character	0.667	0.373	0.686
characteristic	0.583	0.328	0.538
characterize	0.729	0.471	0.735
charade	0.458	0.550	0.346
charcoal	0.302	0.186	0.342
chardonnay	0.677	0.567	0.492
charge	0.510	0.633	0.785
chargeable	0.551	0.550	0.453
charger	0.531	0.418	0.545
chariot	0.684	0.550	0.491
charisma	0.938	0.591	0.759
charismatic	0.938	0.684	0.849
charitable	0.865	0.380	0.593
charity	0.920	0.284	0.551
charlatan	0.200	0.640	0.352
charm	0.833	0.363	0.649
charmed	0.938	0.570	0.769
charmer	0.882	0.683	0.782
charming	0.917	0.660	0.764
charred	0.208	0.676	0.373
chart	0.469	0.317	0.330
charter	0.677	0.382	0.518
chartered	0.569	0.460	0.490
chase	0.396	0.878	0.623
chased	0.188	0.830	0.287
chaser	0.375	0.830	0.645
chasm	0.265	0.579	0.500
chassis	0.406	0.342	0.444
chaste	0.408	0.248	0.453
chastened	0.156	0.580	0.345
chastisement	0.156	0.852	0.462
chastity	0.469	0.392	0.509
chat	0.729	0.400	0.346
chateau	0.615	0.464	0.702
chatter	0.560	0.450	0.347
chatterbox	0.459	0.548	0.482
chattering	0.460	0.663	0.304
chatty	0.594	0.548	0.345
chauffeur	0.500	0.353	0.471
chauvinist	0.310	0.539	0.527
cheap	0.612	0.471	0.272
cheapened	0.471	0.611	0.282
cheapskate	0.148	0.482	0.327
cheat	0.125	0.776	0.400
cheater	0.104	0.920	0.333
check	0.523	0.552	0.602
checkbook	0.552	0.284	0.364
checker	0.330	0.417	0.553
checkered	0.459	0.316	0.336
checkers	0.676	0.451	0.437
checklist	0.561	0.521	0.552
checkmate	0.667	0.708	0.750
checkout	0.597	0.510	0.670
checkpoint	0.571	0.323	0.812
checkup	0.500	0.435	0.491
cheek	0.670	0.314	0.421
cheeks	0.708	0.324	0.282
cheeky	0.434	0.679	0.410
cheep	0.367	0.380	0.373
cheer	0.938	0.784	0.845
cheered	0.875	0.648	0.790
cheerful	0.990	0.720	0.696
cheerfulness	0.969	0.802	0.675
cheering	0.815	0.824	0.642
cheerleader	0.923	0.746	0.657
cheerleading	0.698	0.769	0.404
cheerless	0.204	0.373	0.167
cheers	0.948	0.770	0.702
cheery	0.949	0.657	0.486
cheese	0.740	0.280	0.281
cheeseburger	0.802	0.529	0.336
cheesecake	0.860	0.276	0.238
cheesy	0.470	0.471	0.179
cheetah	0.469	0.770	0.667
chef	0.854	0.411	0.570
chemical	0.337	0.560	0.508
chemise	0.530	0.275	0.364
chemist	0.408	0.575	0.610
chemistry	0.625	0.520	0.694
chemo	0.214	0.686	0.444
chemotherapy	0.163	0.689	0.517
cheque	0.698	0.529	0.660
cherish	0.896	0.491	0.652
cherishing	0.836	0.380	0.625
cherry	0.688	0.186	0.250
cherub	0.663	0.340	0.455
chess	0.656	0.363	0.518
chest	0.520	0.429	0.481
chestnut	0.714	0.210	0.294
chevron	0.469	0.469	0.598
chew	0.520	0.490	0.404
chewy	0.625	0.418	0.390
chic	0.870	0.624	0.380
chicane	0.357	0.460	0.481
chick	0.771	0.602	0.387
chicken	0.594	0.306	0.394
chicken pox	0.194	0.510	0.415
chickenpox	0.173	0.562	0.357
chief	0.520	0.544	0.869
chiefly	0.600	0.587	0.764
chieftain	0.343	0.529	0.860
chiffon	0.406	0.230	0.250
child	0.912	0.460	0.413
childbirth	0.604	0.861	0.673
childhood	0.865	0.413	0.307
childish	0.573	0.442	0.230
childless	0.310	0.400	0.396
childlike	0.656	0.372	0.293
childloss	0.240	0.571	0.421
children	0.857	0.538	0.435
chili	0.592	0.566	0.433
chill	0.837	0.206	0.482
chilled	0.521	0.340	0.482
chilling	0.208	0.850	0.358
chilly	0.329	0.459	0.408
chime	0.573	0.541	0.464
chimera	0.292	0.582	0.372
chimes	0.625	0.490	0.402
chimney	0.583	0.286	0.225
chimp	0.394	0.588	0.345
chimpanzee	0.500	0.633	0.387
chin	0.571	0.310	0.269
china	0.561	0.443	0.556
chinchilla	0.480	0.450	0.286
chine	0.561	0.360	0.352
chinook	0.408	0.497	0.491
chip	0.479	0.382	0.452
chipmunk	0.573	0.562	0.409
chipper	0.418	0.588	0.500
chipping	0.354	0.452	0.353
chiropractor	0.420	0.549	0.651
chirp	0.469	0.602	0.365
chirping	0.500	0.463	0.360
chisel	0.469	0.404	0.452
chiseler	0.429	0.606	0.464
chit	0.490	0.352	0.321
chitchat	0.673	0.455	0.403
chivalry	0.857	0.380	0.848
chloride	0.265	0.387	0.474
chlorine	0.306	0.327	0.332
chloroform	0.281	0.370	0.393
chocolate	0.885	0.480	0.418
choice	0.745	0.520	0.664
choir	0.704	0.298	0.473
choke	0.167	0.788	0.676
cholera	0.020	0.867	0.507
cholesterol	0.198	0.583	0.398
choose	0.615	0.542	0.648
choosing	0.719	0.529	0.689
choosy	0.280	0.760	0.712
chop	0.250	0.655	0.467
chopper	0.594	0.560	0.509
choppers	0.469	0.745	0.691
chopping	0.560	0.625	0.362
chops	0.612	0.420	0.269
choral	0.852	0.290	0.421
chord	0.729	0.394	0.539
chords	0.639	0.406	0.388
chore	0.406	0.462	0.500
choreographer	0.646	0.639	0.625
choreography	0.812	0.750	0.547
chorus	0.620	0.417	0.500
chosen	0.865	0.449	0.833
chow	0.573	0.490	0.390
chowder	0.510	0.324	0.241
christ	0.781	0.510	0.750
christen	0.673	0.356	0.588
christening	0.725	0.382	0.650
christian	0.760	0.241	0.591
christmas	0.959	0.520	0.741
christmasbreak	0.842	0.640	0.548
christmaseve	0.812	0.491	0.463
christmasspirit	0.867	0.602	0.575
christmassy	0.875	0.698	0.602
christmastime	0.837	0.588	0.515
chromatic	0.407	0.413	0.435
chromatography	0.480	0.537	0.535
chrome	0.582	0.373	0.421
chromium	0.458	0.404	0.447
chromosome	0.500	0.296	0.548
chronic	0.255	0.615	0.464
chronicle	0.427	0.571	0.586
chronograph	0.500	0.392	0.529
chronological	0.594	0.445	0.600
chubby	0.531	0.427	0.304
chuck	0.542	0.509	0.413
chuckle	0.844	0.736	0.481
chug	0.401	0.413	0.358
chum	0.911	0.347	0.518
chummy	0.760	0.420	0.610
chump	0.375	0.451	0.304
chunk	0.365	0.287	0.214
chunky	0.520	0.517	0.509
church	0.708	0.198	0.610
churchyard	0.296	0.444	0.347
churn	0.316	0.491	0.407
chute	0.580	0.745	0.455
chutney	0.459	0.370	0.400
ciao	0.542	0.426	0.409
cider	0.530	0.346	0.398
cigar	0.306	0.463	0.346
cigarette	0.219	0.528	0.304
cilantro	0.469	0.260	0.208
cinch	0.450	0.490	0.387
cinder	0.350	0.260	0.157
cinema	0.698	0.538	0.500
cinematic	0.663	0.490	0.600
cinematographer	0.792	0.455	0.711
cinematography	0.781	0.571	0.625
cinnamon	0.600	0.250	0.292
cipher	0.490	0.414	0.500
circle	0.480	0.290	0.343
circling	0.510	0.654	0.336
circuit	0.586	0.461	0.707
circuitry	0.596	0.615	0.536
circular	0.562	0.342	0.417
circulate	0.612	0.388	0.320
circulation	0.735	0.520	0.657
circulatory	0.592	0.575	0.545
circumcision	0.327	0.657	0.528
circumference	0.458	0.255	0.488
circumferential	0.551	0.422	0.509
circumscribed	0.365	0.539	0.569
circumstance	0.520	0.565	0.596
circumstances	0.562	0.527	0.464
circumstantial	0.500	0.538	0.519
circumvent	0.316	0.642	0.383
circumvention	0.531	0.571	0.473
circus	0.724	0.637	0.432
cirque	0.604	0.647	0.467
cirrhosis	0.079	0.602	0.370
cirrus	0.470	0.451	0.348
cistern	0.541	0.413	0.432
citadel	0.585	0.464	0.602
citation	0.570	0.549	0.508
cite	0.625	0.454	0.532
citizen	0.631	0.250	0.586
citizenship	0.786	0.404	0.723
citrine	0.375	0.400	0.420
citrus	0.469	0.368	0.375
city	0.847	0.531	0.508
citywide	0.592	0.509	0.707
civic	0.653	0.240	0.573
civics	0.700	0.279	0.720
civil	0.521	0.281	0.517
civilian	0.700	0.229	0.598
civilians	0.490	0.448	0.525
civility	0.760	0.306	0.679
civilization	0.823	0.452	0.839
civilized	0.792	0.231	0.796
clad	0.583	0.373	0.481
claim	0.255	0.760	0.473
claimant	0.271	0.690	0.779
clairvoyant	0.765	0.531	0.897
clam	0.442	0.302	0.272
clambake	0.542	0.540	0.429
clammy	0.354	0.440	0.236
clamor	0.438	0.643	0.360
clamp	0.541	0.388	0.454
clan	0.562	0.491	0.686
clandestine	0.425	0.677	0.469
clang	0.459	0.520	0.510
clap	0.779	0.731	0.529
clapper	0.500	0.229	0.420
clapping	0.823	0.894	0.686
clarification	0.802	0.461	0.613
clarify	0.652	0.535	0.625
clarinet	0.592	0.453	0.411
clarion	0.500	0.443	0.422
clarity	0.796	0.310	0.631
clash	0.293	0.918	0.453
clashing	0.177	0.764	0.575
clasp	0.448	0.375	0.241
class	0.656	0.314	0.522
classic	0.690	0.260	0.611
classic rock	0.729	0.571	0.588
classical	0.643	0.198	0.536
classics	0.750	0.333	0.510
classification	0.583	0.423	0.613
classified	0.571	0.460	0.663
classify	0.646	0.411	0.720
classmate	0.781	0.400	0.593
classroom	0.539	0.292	0.363
classy	0.917	0.410	0.649
clatter	0.418	0.820	0.387
clause	0.480	0.409	0.528
clauses	0.449	0.429	0.545
claustrophobia	0.125	0.840	0.333
claustrophobic	0.092	0.755	0.400
clavicle	0.398	0.400	0.452
claw	0.260	0.600	0.598
claws	0.281	0.698	0.562
clay	0.542	0.250	0.267
clean	0.827	0.170	0.500
cleaner	0.604	0.556	0.375
cleaning	0.595	0.396	0.427
cleanliness	0.816	0.363	0.609
cleanly	0.823	0.352	0.583
cleanse	0.625	0.310	0.660
cleanser	0.604	0.353	0.433
cleansing	0.729	0.298	0.472
cleanup	0.729	0.314	0.451
clear	0.857	0.327	0.573
clearance	0.542	0.459	0.473
clearing	0.680	0.333	0.509
clearness	0.875	0.316	0.689
cleat	0.486	0.260	0.361
cleavage	0.542	0.602	0.454
cleave	0.296	0.545	0.389
cleaver	0.240	0.627	0.434
clef	0.615	0.360	0.595
cleft	0.306	0.442	0.360
clemency	0.594	0.417	0.397
clench	0.438	0.618	0.580
clergy	0.531	0.312	0.575
clergyman	0.594	0.330	0.556
cleric	0.521	0.324	0.589
clerical	0.520	0.396	0.491
clerk	0.500	0.579	0.509
clerkship	0.582	0.380	0.596
clever	0.896	0.353	0.729
cleverness	0.878	0.509	0.921
click	0.536	0.365	0.268
clicker	0.418	0.490	0.463
client	0.583	0.450	0.618
clientele	0.625	0.577	0.508
cliff	0.361	0.620	0.509
climate	0.635	0.240	0.483
climatology	0.531	0.367	0.541
climax	0.735	0.853	0.667
climb	0.615	0.660	0.604
climber	0.573	0.716	0.735
clinch	0.469	0.538	0.430
cling	0.417	0.620	0.588
clingy	0.224	0.460	0.370
clinic	0.469	0.439	0.600
clinical	0.337	0.412	0.640
clink	0.458	0.462	0.319
clip	0.438	0.310	0.381
clipboard	0.594	0.255	0.423
clipper	0.293	0.422	0.383
clipping	0.460	0.500	0.405
clique	0.427	0.430	0.391
clitoris	0.625	0.844	0.464
cloak	0.469	0.188	0.333
cloaking	0.521	0.595	0.389
cloakroom	0.690	0.254	0.397
clobber	0.396	0.578	0.464
clock	0.677	0.173	0.407
clockwork	0.490	0.373	0.528
clod	0.375	0.404	0.365
clog	0.104	0.618	0.454
cloister	0.438	0.413	0.475
clone	0.406	0.471	0.524
cloning	0.216	0.696	0.679
close	0.292	0.260	0.263
closed	0.240	0.164	0.318
closeness	0.796	0.237	0.450
closet	0.531	0.204	0.330
closure	0.229	0.220	0.412
clot	0.150	0.558	0.275
cloth	0.510	0.190	0.287
clothe	0.797	0.330	0.481
clothes	0.833	0.270	0.414
clothesline	0.582	0.324	0.366
clothing	0.750	0.343	0.407
cloud	0.740	0.133	0.342
clouded	0.240	0.213	0.302
cloudiness	0.469	0.250	0.343
clouds	0.735	0.195	0.324
cloudy	0.281	0.280	0.202
clout	0.584	0.636	0.704
clove	0.439	0.296	0.315
clover	0.605	0.340	0.364
cloves	0.427	0.218	0.396
clown	0.650	0.598	0.300
clowns	0.600	0.673	0.391
club	0.646	0.618	0.393
clubhouse	0.694	0.571	0.493
clubs	0.723	0.530	0.591
cluck	0.390	0.490	0.353
clue	0.653	0.380	0.412
clueless	0.350	0.333	0.161
clump	0.551	0.480	0.582
clumsy	0.125	0.420	0.144
clunk	0.448	0.472	0.407
cluster	0.490	0.458	0.446
clutch	0.383	0.500	0.491
clutches	0.542	0.373	0.528
clutter	0.135	0.598	0.400
coach	0.633	0.823	0.735
coachman	0.479	0.394	0.509
coagulation	0.381	0.558	0.436
coal	0.360	0.241	0.340
coalesce	0.479	0.434	0.529
coalition	0.490	0.730	0.673
coarse	0.333	0.481	0.481
coast	0.719	0.396	0.458
coastal	0.604	0.370	0.510
coaster	0.612	0.788	0.627
coastline	0.745	0.282	0.441
coat	0.677	0.256	0.464
coating	0.620	0.440	0.596
coax	0.367	0.400	0.447
cobalt	0.408	0.325	0.441
cobble	0.448	0.385	0.368
cobbler	0.510	0.415	0.318
cobra	0.312	0.712	0.600
cocaine	0.156	0.840	0.373
cock	0.418	0.562	0.392
cockamamie	0.450	0.500	0.382
cockeyed	0.459	0.460	0.423
cockpit	0.520	0.424	0.343
cockroach	0.188	0.667	0.196
cocksucker	0.083	0.764	0.339
cocktail	0.740	0.480	0.381
cocky	0.260	0.784	0.519
cocoa	0.776	0.255	0.322
coconut	0.622	0.265	0.227
cocoon	0.470	0.280	0.290
cod	0.510	0.321	0.304
code	0.583	0.308	0.491
codeine	0.375	0.582	0.436
codex	0.531	0.488	0.524
codfish	0.490	0.245	0.300
codification	0.448	0.400	0.698
codify	0.448	0.410	0.679
coding	0.442	0.344	0.667
coed	0.469	0.531	0.481
coefficient	0.677	0.415	0.702
coerce	0.260	0.741	0.517
coercion	0.330	0.708	0.577
coercive	0.479	0.670	0.506
coexist	0.708	0.460	0.536
coexistence	0.588	0.472	0.638
coexisting	0.551	0.349	0.648
coffee	0.823	0.418	0.309
coffee table	0.720	0.339	0.295
coffeehouse	0.694	0.357	0.307
coffeepot	0.760	0.333	0.312
coffin	0.073	0.432	0.343
cog	0.427	0.343	0.363
cogent	0.765	0.479	0.836
cognac	0.615	0.510	0.430
cognate	0.615	0.350	0.398
cognition	0.635	0.344	0.706
cognitive	0.513	0.401	0.634
cohabitation	0.646	0.526	0.598
coherence	0.720	0.406	0.788
coherent	0.698	0.281	0.500
cohesion	0.604	0.536	0.555
cohesive	0.531	0.470	0.603
cohort	0.459	0.551	0.566
coil	0.448	0.343	0.298
coiled	0.378	0.518	0.389
coin	0.677	0.574	0.445
coinage	0.500	0.400	0.545
coincide	0.635	0.490	0.593
coincidence	0.612	0.450	0.518
coincident	0.562	0.385	0.602
coincidental	0.646	0.481	0.337
coinciding	0.673	0.373	0.623
coke	0.404	0.461	0.397
cola	0.469	0.325	0.240
cold	0.398	0.538	0.348
coldly	0.365	0.358	0.407
coldness	0.093	0.470	0.427
coldsweat	0.427	0.491	0.327
coleslaw	0.707	0.312	0.336
colic	0.135	0.736	0.361
coliseum	0.612	0.663	0.704
collaborate	0.816	0.449	0.559
collaboration	0.885	0.628	0.741
collaborator	0.729	0.320	0.769
collage	0.680	0.321	0.375
collagen	0.541	0.245	0.450
collapse	0.208	0.689	0.342
collar	0.656	0.442	0.446
collarbone	0.420	0.427	0.306
collate	0.438	0.448	0.580
collateral	0.531	0.422	0.717
collation	0.520	0.333	0.508
colleague	0.740	0.413	0.600
collect	0.635	0.481	0.491
collected	0.570	0.402	0.588
collection	0.725	0.311	0.588
collective	0.583	0.458	0.698
collectively	0.817	0.573	0.533
collector	0.552	0.481	0.648
college	0.700	0.467	0.746
collegiate	0.592	0.461	0.678
collide	0.271	0.892	0.557
collie	0.562	0.308	0.328
collision	0.245	0.848	0.585
collocation	0.637	0.360	0.594
colloquial	0.604	0.363	0.368
collusion	0.365	0.510	0.400
cologne	0.677	0.413	0.552
colon	0.449	0.394	0.384
colonel	0.459	0.592	0.890
colonial	0.553	0.327	0.613
colonic	0.333	0.420	0.430
colonoscopy	0.208	0.524	0.466
colony	0.716	0.353	0.593
colophon	0.500	0.408	0.385
color	0.786	0.280	0.402
coloration	0.541	0.520	0.443
colored	0.806	0.317	0.275
colorful	0.850	0.520	0.519
coloring	0.781	0.469	0.353
colorless	0.354	0.340	0.250
colors	0.875	0.349	0.340
colossal	0.698	0.692	0.900
colt	0.561	0.587	0.543
columbine	0.520	0.521	0.407
column	0.480	0.250	0.670
columnar	0.448	0.340	0.491
columnist	0.646	0.365	0.648
com	0.396	0.382	0.382
coma	0.219	0.255	0.302
comatose	0.143	0.438	0.433
comb	0.490	0.123	0.268
combat	0.302	0.846	0.833
combatant	0.531	0.853	0.780
combative	0.381	0.690	0.816
combination	0.708	0.480	0.726
combinatorial	0.561	0.436	0.428
combine	0.663	0.442	0.533
combined	0.622	0.370	0.500
combo	0.698	0.439	0.453
combustible	0.386	0.650	0.750
combustion	0.457	0.807	0.591
come	0.529	0.269	0.558
comeback	0.580	0.409	0.555
comedian	0.812	0.735	0.598
comedy	0.918	0.555	0.490
comet	0.704	0.679	0.471
comfort	0.863	0.231	0.670
comfortable	0.927	0.163	0.473
comforter	0.618	0.275	0.302
comforting	0.906	0.337	0.620
comfy	0.930	0.241	0.625
comic	0.917	0.459	0.387
comical	0.844	0.737	0.327
comics	0.690	0.556	0.384
coming	0.653	0.417	0.500
comma	0.344	0.269	0.242
command	0.427	0.790	0.849
commandant	0.622	0.700	0.943
commandeer	0.552	0.639	0.931
commander	0.531	0.615	0.906
commanding	0.562	0.664	0.925
commandment	0.656	0.490	0.876
commando	0.323	0.710	0.817
commemorate	0.812	0.602	0.636
commemoration	0.719	0.615	0.754
commemorative	0.750	0.438	0.754
commence	0.760	0.585	0.741
commend	0.906	0.694	0.711
commendable	0.786	0.570	0.555
commendation	0.911	0.500	0.639
commensurate	0.610	0.304	0.550
comment	0.667	0.417	0.379
commentary	0.602	0.402	0.446
commentator	0.492	0.510	0.607
commerce	0.646	0.500	0.788
commercial	0.806	0.490	0.528
commie	0.385	0.519	0.454
commissary	0.385	0.500	0.788
commission	0.677	0.480	0.571
commissioner	0.602	0.449	0.949
commit	0.365	0.529	0.491
commitment	0.714	0.710	0.843
committal	0.472	0.519	0.582
committed	0.710	0.542	0.712
committee	0.592	0.392	0.721
commodity	0.615	0.394	0.537
commodore	0.427	0.530	0.636
common	0.600	0.127	0.318
commoner	0.448	0.365	0.327
commonly	0.604	0.170	0.574
commonplace	0.520	0.337	0.442
commons	0.633	0.396	0.623
commonwealth	0.630	0.406	0.702
commotion	0.490	0.700	0.646
communal	0.592	0.321	0.556
commune	0.500	0.488	0.655
communicable	0.796	0.491	0.623
communicate	0.823	0.410	0.696
communication	0.837	0.400	0.649
communicative	0.847	0.560	0.637
communicator	0.573	0.509	0.796
communion	0.765	0.357	0.607
communism	0.264	0.570	0.623
communist	0.265	0.702	0.632
community	0.750	0.350	0.659
commutation	0.469	0.431	0.652
commutative	0.667	0.442	0.569
commute	0.622	0.582	0.565
commuter	0.646	0.520	0.512
comp	0.573	0.450	0.371
compact	0.458	0.417	0.673
compaction	0.531	0.471	0.582
compactness	0.582	0.352	0.454
companion	0.770	0.377	0.618
companionless	0.271	0.259	0.200
companionship	0.833	0.438	0.792
company	0.906	0.425	0.798
comparable	0.562	0.443	0.458
comparative	0.470	0.273	0.562
comparatively	0.604	0.391	0.538
compare	0.552	0.408	0.524
comparison	0.583	0.456	0.492
compartment	0.500	0.389	0.607
compass	0.541	0.307	0.529
compassion	0.735	0.258	0.509
compassionate	0.857	0.404	0.411
compatibility	0.816	0.450	0.673
compatible	0.892	0.387	0.638
compel	0.200	0.847	0.625
compelled	0.333	0.654	0.347
compelling	0.698	0.570	0.870
compendium	0.610	0.461	0.537
compensate	0.612	0.429	0.762
compensation	0.775	0.469	0.598
compensatory	0.589	0.490	0.700
compete	0.573	0.745	0.786
competence	0.615	0.802	0.823
competency	0.768	0.775	0.764
competent	0.865	0.560	0.904
competition	0.580	0.790	0.798
competitive	0.447	0.718	0.908
competitor	0.612	0.959	0.861
compilation	0.530	0.512	0.606
compile	0.600	0.413	0.519
complacency	0.604	0.503	0.519
complacent	0.625	0.452	0.518
complain	0.143	0.682	0.360
complaint	0.143	0.606	0.281
complement	0.760	0.277	0.600
complementary	0.714	0.320	0.586
complete	0.750	0.414	0.809
completed	0.823	0.357	0.777
completely	0.730	0.370	0.690
completeness	0.823	0.433	0.769
completing	0.614	0.500	0.769
completion	0.656	0.470	0.525
complex	0.388	0.608	0.550
complexed	0.312	0.577	0.612
complexion	0.521	0.520	0.380
complexity	0.479	0.620	0.595
compliance	0.750	0.462	0.750
compliant	0.677	0.310	0.519
complicate	0.210	0.657	0.404
complicated	0.211	0.660	0.455
complication	0.365	0.726	0.330
complicity	0.323	0.684	0.670
compliment	0.820	0.490	0.651
complimentary	0.823	0.413	0.435
comply	0.806	0.370	0.638
complying	0.729	0.423	0.590
compo	0.500	0.346	0.390
component	0.531	0.382	0.525
compose	0.639	0.432	0.694
composed	0.684	0.385	0.682
composer	0.822	0.588	0.691
composite	0.591	0.459	0.620
composition	0.765	0.408	0.652
compost	0.480	0.404	0.441
composure	0.802	0.354	0.717
compound	0.635	0.385	0.735
comprehend	0.875	0.365	0.689
comprehension	0.908	0.387	0.688
comprehensive	0.796	0.385	0.644
compress	0.406	0.412	0.460
compressed	0.323	0.396	0.388
compressible	0.622	0.392	0.585
compression	0.646	0.521	0.579
compressor	0.418	0.481	0.630
comprise	0.839	0.373	0.669
compromise	0.677	0.520	0.805
comptroller	0.402	0.481	0.866
compulsion	0.118	0.760	0.604
compulsive	0.347	0.871	0.573
compulsory	0.343	0.541	0.791
computable	0.570	0.402	0.545
computation	0.583	0.429	0.697
compute	0.531	0.408	0.564
computer	0.802	0.356	0.639
computerized	0.677	0.450	0.657
computing	0.745	0.398	0.695
comrade	0.781	0.412	0.804
con	0.255	0.736	0.427
concatenation	0.480	0.593	0.539
concave	0.441	0.349	0.349
conceal	0.312	0.436	0.306
concealed	0.344	0.363	0.352
concealment	0.302	0.570	0.390
concede	0.670	0.324	0.473
conceit	0.354	0.625	0.309
conceited	0.194	0.667	0.473
conceivable	0.730	0.350	0.613
conceive	0.708	0.538	0.700
concentrate	0.750	0.439	0.743
concentration	0.735	0.500	0.722
concentric	0.730	0.479	0.635
concept	0.573	0.265	0.632
conception	0.694	0.490	0.614
concern	0.250	0.734	0.463
concerned	0.292	0.698	0.350
concert	0.938	0.867	0.718
concerto	0.613	0.759	0.679
concession	0.588	0.423	0.615
concessional	0.770	0.493	0.657
conch	0.583	0.306	0.339
concierge	0.480	0.343	0.343
conciliation	0.792	0.475	0.726
concise	0.583	0.298	0.620
conclave	0.573	0.440	0.611
conclude	0.530	0.267	0.679
concluding	0.531	0.382	0.603
conclusion	0.615	0.377	0.659
conclusive	0.500	0.427	0.745
concoction	0.448	0.459	0.417
concomitant	0.427	0.482	0.727
